#,序号,卷包实际得分,重量平均值,长度平均值,圆周平均值,吸阻平均值,硬度平均值,重量设计值,重量允差,长度设计值,长度允差,圆周设计值,圆周允差,吸阻设计值,吸阻允差,硬度设计值,硬度允差,盒标焦油量(mg),盒标烟气烟碱量(mg),盒标一氧化碳量(mg),平均质量(g),平均吸阻(pa),抽吸口数(口／支),总粒相物(mg),实测水分(mg),实测烟气烟碱量(mg),实测焦油量(mg),焦油量得分,烟气烟碱量得分,实测一氧化碳量(mg),一氧化碳量得分,烟气判定,端部落丝量,端部落丝量判定,含水率,含水率判定,含末率,含末率判定,制丝批次号,批次号,累计批次,主秤后填充值 cm3/g,含水率%,填充值cm3/g,长丝g,中丝g,短丝g,碎丝g,总重,整丝率%,碎丝率%,加香线,水分仪水分
1,1,99.3,0.866,84,24.29,1143,66.08,0.85,0.07,84,0.5,24.2,0.2,1110,200,67,10,11,1,11,0.87,1067,6.8,14.81,2.54,1.07,11.2,80,100,10.9,80,合格,4.7,合格,12,合格,1.56,合格,BJ230215-LLQXB-04A,BJ230215-LLQXB-04A,18,4.81,11.89,5.5,629.5,224.6,182,14,1050.1,81.34%,1.33%,2线,11.98
2,2,99.2,0.889,84.06,24.23,1203,70.76,0.85,0.07,84,0.5,24.2,0.2,1110,200,67,10,11,1,11,0.868,1073,6.8,14.57,2.37,1.08,11.1,80,100,10.5,80,合格,6.5,合格,11.73,合格,1.67,合格,BJ230216-LLQXB-02A,BJ230216-LLQXB-02A,20,5.03,11.95,5.61,552.3,170,147.8,14.8,884.9,81.63%,1.67%,2线,11.78
3,3,98.4,0.873,83.98,24.28,1162,67.07,0.85,0.07,84,0.5,24.2,0.2,1110,200,67,10,11,1,11,0.872,1052,6.6,14.53,2.23,1.07,11.2,80,100,10.9,80,合格,3,合格,11.98,合格,1.73,合格,BJ230217-LLQXB-02A,BJ230217-LLQXB-02A,22,4.81,11.98,5.45,598.5,241.7,195.7,13.7,1049.6,80.05%,1.31%,2线,12
4,4,97.9,0.87,83.87,24.32,1166,68.53,0.85,0.07,84,0.5,24.2,0.2,1110,200,67,10,11,1,11,0.866,1070,6.7,14.5,2.34,1.08,11.1,80,100,10.8,80,合格,5,合格,11.64,合格,1.65,合格,BJ230217-LLQXB-05A,BJ230217-LLQXB-05A,25,5.2,11.94,5.48,616.7,168.2,148.8,11.9,945.6,83.01%,1.26%,2线,12.12
5,5,97.4,0.875,84.03,24.28,1165,69.22,0.85,0.07,84,0.5,24.2,0.2,1110,200,67,10,11,1,11,0.879,1062,6.8,14.88,2.37,1.11,11.4,80,100,10.5,80,合格,5.2,合格,11.77,合格,1.93,合格,BJ230221-LLQXB-02A,BJ230221-LLQXB-02A,31,5.19,12.11,5.48,477.9,188.8,153.5,12.5,832.7,80.06%,1.50%,2线,12.02
6,6,99.1,0.876,84.04,24.19,1193,65.58,0.85,0.07,84,0.5,24.2,0.2,1110,200,67,10,11,1,11,0.864,1063,6.6,13.98,2.07,1.01,10.9,80,100,10.3,80,合格,5,合格,12.02,合格,1.51,合格,BJ230221-LLQXB-02A,BJ230221-LLQXB-02A,31,5.19,12.11,5.48,477.9,188.8,153.5,12.5,832.7,80.06%,1.50%,2线,12.02
7,7,99.1,0.876,83.98,24.19,1157,66.45,0.85,0.07,84,0.5,24.2,0.2,1110,200,67,10,11,1,11,0.859,1087,6.9,12.7,1.42,0.9,10.4,80,100,10.1,100,合格,5.7,合格,11.97,合格,1.44,合格,BJ230228-LLQXB-04A,BJ230228-LLQXB-04A,8,5.23,11.96,5.49,622.3,212.4,187.5,13.6,1035.8,80.59%,1.31%,2线,11.67
8,8,99.5,0.866,84.05,24.21,1184,67.13,0.85,0.07,84,0.5,24.2,0.2,1110,200,67,10,11,1,11,0.85,1228,6.8,13.99,1.94,1,11.1,80,100,11.7,80,合格,4.1,合格,11.82,合格,1.66,合格,BJ230301-LLQXB-03A,BJ230301-LLQXB-03A,15,5.22,12.03,5.51,541.2,208.4,164.9,12.2,926.7,80.89%,1.32%,2线,11.8
9,9,97.7,0.87,83.93,24.3,1155,67.29,0.85,0.07,84,0.5,24.2,0.2,1110,200,67,10,11,1,11,0.846,1201,6.4,13.99,2.09,0.96,10.9,80,100,11.4,80,合格,5.7,合格,11.47,合格,1.65,合格,BJ230302-LLQXB-03A,BJ230302-LLQXB-03A,18,5.04,11.95,5.42,585.9,221.1,177,12.9,996.9,80.95%,1.29%,2线,11.8
10,10,99.6,0.878,83.98,24.23,1183,65.14,0.85,0.07,84,0.5,24.2,0.2,1110,200,67,10,11,1,11,0.86,1223,6.6,14.37,2.13,1.02,11.2,80,100,12.1,80,合格,5.9,合格,12.1,合格,1.91,合格,BJ230303-LLQXB-01A,BJ230303-LLQXB-01A,19,5.13,11.93,5.42,642.8,160.9,134,11,948.7,84.72%,1.16%,2线,11.68
